Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Shams, Ladan; Iwaki, Sunao; Chawla, Aman; Bhattacharya, Joydeep; ",Early Modulation of Visual Cortex by Sound: an MEG Study,Neuroscience letters,378,2,76-81,2005,Elsevier
"Neil, Patricia A; Chawla, Aman; Bhattacharya, Joydeep; Shimojo, Shinsuke; ",Significant Audio-visual Interaction for Spatially Congruent Stimuli,Journal of Vision,4,8,702-702,2004,The Association for Research in Vision and Ophthalmology
"Chawla, Aman; ",Reliability of a Gaussian Channel in the Presence of Gaussian Feedback,,,,,2006,Massachusetts Institute of Technology
"Chawla, Aman; ",On Axon-axon Interaction via Currents and Fields,,,,,2017,University of South Florida
"Chawla, Aman; Morgera, Salvatore D; ",Ephaptic Synchronization as a Mechanism for Selective Amplification of Stimuli,BMC Neuroscience,15,Suppl 1,P87,2014,BioMed Central
"Chawla, Aman; Morgera, Salvatore; Snider, Arthur; ",On Axon Interaction and its Role in Neurological Networks,IEEE/ACM Transactions on Computational Biology and Bioinformatics,,,,2019,IEEE
"Chawla, Aman; Morgera, Salvatore D.; Snider, Arthur D.; ","Fields, Geometry, and Their Impact on Axon Interaction",Journal of Applied Mathematics and Physics,9,4,751-778,2021,Scientific Research Publishing
"Chawla, Aman; Morgera, Salvatore Domenic; ",On the Continuous Time Additive Gaussian Noise Channel in the Presence of Perfect Feedback,2020 IEEE Information Theory Workshop (ITW),,,05/01/25,2021,IEEE
"Chawla, Aman; ",Reliability of a Classical-quantum Communication System With Noisy Feedback,Quantum Information Processing 2012,,,,2011,
"Chawla, A; ",Noisy Feedback Reliability of a Peak Power Constrained AWGN Channel,"First Annual School of Information Theory, 2008",,,,2008,
"Chawla, Aman; Morgera, Salvatore Domenic; ",On the Geometry of Interacting Axon Tracts in Relation to Their Functional Properties,Communications in Mathematical Biology and Neuroscience,2024,57,,2022,scik.org
"Chawla, Aman; Morgera, Salvatore Domenic; ",Ephaptic Coupling in Axon Tracts Under Time and Rate Coding of Information: a Computer Study,Bernstein Conference,,,,2020,doi: 10.12751/nncn.bc2020.0068
"Chawla, Aman; Morgera, Salvatore Domenic; ",Towards Weak Information Theory: Weak-Joint Typicality Decoding Using Support Vector Machines May Lead to Improved Error Exponents,https://arxiv.org/abs/2208.04263,,TR-166-2022,,2022,
"Chawla, Aman; ",Towards Weak Source Coding,https://arxiv.org/abs/2209.04765,,,,2022,
"Chawla, Aman; Morgera, Salvatore Domenic; ",On the Error Exponent of Axon-Coupled Channels: Computer Explorations.,Bernstein Conference 2022,,,PIII.19,2022,
"Chawla, Aman; Morgera, Salvatore Domenic; ",Computer Study of Metric Perturbations Impinging on Coupled Axon Tracts,Physics Essays,36,2,,2022,Physics Essays Publications
"Chawla, Aman; Morgera, Salvatore Domenic; ",Differential Ephaptic Networks,Journal of Applied Mathematics and Physics,10,10,2876-2882,2022,Scientific Research Publishing
"Chawla, Aman; ",A Gedanken Experiment on the Brain as a Quantum Computer,dx.doi.org/10.13140/RG.2.2.15135.02720,,,,2022,
"Chawla, Aman; Morgera, Salvatore Domenic; ",On an analogy between ephaptic coupling in large tracts and cross-modal integration during illusory percept,bioRxiv,,,2022.10. 27.509121,2022,Cold Spring Harbor Laboratory
"Chawla, Aman; ",A Mathematical Model for the Vector Ephaptic Perceptron.,Zenodo [English & Spanish],,dx.doi.org/10.5281/zenodo.7421770,,2022,
"Chawla, Aman; ",High Reliability Communication System Using Statistical Learning,,,,,,
