master_s_name,quote
Mahavatar Babaji,"If you come to doubt, I’ll give you every reason to doubt. If you come suspicious, I’ll give you every reason to be suspicious. But if you come seeking Love, I’ll show you more love than you’ve ever known."
Mahavatar Babaji,"Even in the world, the yogi who faithfully discharges his responsibilities, without personal motive or attachment, treads the sure path of enlightenment."
Mahavatar Babaji,"The divine realm extends to the earthly; but the latter, illusory in nature, does not contain the essence of Reality."
Mahavatar Babaji,Give Kriya to all who humbly ask you for help. Repeat to each of your disciples this promise: Even a little practice of dharma will save you from great fear.
Lahiri Mahasaya,Through delusion you are perceiving yourself as a bundle of flesh and bones… Meditate unceasingly.
Lahiri Mahasaya,I am ever with those who practice Kriya. I will guide you to the Cosmic Home through your ever enlarging spiritual perceptions.
Lahiri Mahasaya,"He only is wise who devotes himself to realising, not reading only…"
Lahiri Mahasaya,Solve your problems through meditation. Exchange unprofitable speculation for actual God-communion.
Lahiri Mahasaya,Words are only shells; win conviction of God’s presence through your own joyous contact in meditation.
Swami Sri Yukteswar Giri,"After the mind has been cleared by Kriya Yoga of sensory obstacles, meditation furnishes a twofold proof of God."
Swami Sri Yukteswar Giri,Everything in future will improve if you are making a spiritual effort now.
Paramahansa Yogananda,Kriya Yoga takes one to God by the universal highway: the spine.
Paramahansa Yogananda,You can escape the bodily limitations by Kriya Yoga if you are sincere.
Paramahansa Yogananda,I can make saints of restless men if they practice Kriya two hours daily.
Paramahansa Yogananda,Kriya Yoga is the jet airplane route to God.
Paramahansa Yogananda,Constructive thought will absolutely penetrate all negativities like a great hidden searchlight.
Paramahansa Yogananda,May the peace of God be with you always.
Paramahamsa Hariharananda,An ounce of practice is better than a ton of theories.
Paramahamsa Hariharananda,Breath control is self-control. Breath mastery is self-mastery.
Paramahamsa Hariharananda,"If you constantly watch the indwelling Self, this is tantra."
Paramahamsa Hariharananda,Only with thorough self-control and practicing the technique can one go to the formless state.
Paramahamsa Hariharananda,Keep focused on the soul and be spiritual.
Paramahamsa Hariharananda,"When all the power has gone to the fontanel, you cannot come back from there."
Paramahamsa Prajnanananda,Prayer is the expression of one’s love for God through the senses.
Paramahamsa Prajnanananda,In meditation all the senses are introverted.
Swami Satyananda Giri,When one sincerely strives for inner fulfillment for a good period of time one progresses on the path of perfection.
Swami Satyananda Giri,"If while you work you feel that work is worship and the material world is the living presence of God, you will get liberation."
